1,1,708.93,298.34,159.88,159.13,1,-1,-1,-1
1,2,326.65,391.08,142.50,105.47,1,-1,-1,-1
1,3,493.25,172.66,111.79,95.68,1,-1,-1,-1
2,1,708.97,298.34,159.79,159.15,1,-1,-1,-1
2,2,325.37,390.93,144.86,105.76,1,-1,-1,-1
2,3,492.99,172.48,111.81,96.28,1,-1,-1,-1
3,1,709.31,298.23,158.84,159.27,1,-1,-1,-1
3,2,324.22,390.75,146.35,106.05,1,-1,-1,-1
3,3,492.11,172.83,111.33,96.26,1,-1,-1,-1
4,1,708.95,297.73,158.86,160.06,1,-1,-1,-1
4,2,325.56,390.73,143.63,106.11,1,-1,-1,-1
4,3,489.59,173.50,110.41,95.28,1,-1,-1,-1
5,1,708.18,297.77,159.86,159.74,1,-1,-1,-1
5,2,324.86,390.55,144.62,106.36,1,-1,-1,-1
5,3,483.55,173.37,113.40,97.53,1,-1,-1,-1
6,1,708.21,298.22,159.74,159.09,1,-1,-1,-1
6,2,327.40,390.91,141.21,105.82,1,-1,-1,-1
6,3,480.79,174.04,110.65,98.05,1,-1,-1,-1
7,1,708.00,299.57,160.10,157.62,1,-1,-1,-1
7,3,477.16,174.55,110.36,98.60,1,-1,-1,-1
8,1,707.92,300.20,160.42,157.20,1,-1,-1,-1
8,2,324.28,390.32,145.69,106.59,1,-1,-1,-1
8,3,470.78,175.69,113.94,98.26,1,-1,-1,-1
9,1,707.98,300.22,160.23,157.47,1,-1,-1,-1
9,2,325.16,390.48,144.11,106.27,1,-1,-1,-1
9,3,467.62,177.35,111.38,96.48,1,-1,-1,-1
10,1,708.28,300.28,159.79,157.39,1,-1,-1,-1
10,2,325.80,390.76,143.40,105.94,1,-1,-1,-1
10,3,463.45,177.60,111.55,98.70,1,-1,-1,-1
11,1,708.12,300.17,160.86,157.50,1,-1,-1,-1
11,2,324.98,390.72,144.70,106.11,1,-1,-1,-1
11,3,459.22,178.69,112.39,97.69,1,-1,-1,-1
12,1,708.61,300.11,159.99,157.76,1,-1,-1,-1
12,2,325.30,390.87,144.15,105.96,1,-1,-1,-1
12,3,455.44,179.43,110.64,96.39,1,-1,-1,-1
13,1,708.70,300.72,159.15,157.20,1,-1,-1,-1
13,2,328.07,391.07,140.65,105.55,1,-1,-1,-1
13,3,449.01,179.19,114.29,98.90,1,-1,-1,-1
14,1,708.97,300.88,158.76,157.05,1,-1,-1,-1
14,2,329.73,391.26,139.21,105.33,1,-1,-1,-1
14,3,445.79,180.35,113.21,98.49,1,-1,-1,-1
15,1,707.34,299.03,169.81,163.05,1,-1,-1,-1
15,3,442.37,181.20,111.72,98.32,1,-1,-1,-1
16,1,718.34,298.48,150.08,166.80,1,-1,-1,-1
16,2,328.85,391.09,141.01,105.68,1,-1,-1,-1
16,3,437.86,182.89,112.43,96.14,1,-1,-1,-1
17,1,711.30,301.17,160.02,157.86,1,-1,-1,-1
17,2,327.06,390.92,143.10,105.99,1,-1,-1,-1
17,3,432.49,183.71,113.00,96.75,1,-1,-1,-1
18,1,708.98,299.10,165.89,161.63,1,-1,-1,-1
18,2,326.67,390.84,143.09,106.10,1,-1,-1,-1
18,3,427.59,184.90,113.24,95.65,1,-1,-1,-1
19,1,708.28,298.91,169.13,161.91,1,-1,-1,-1
19,2,327.68,390.91,141.58,106.01,1,-1,-1,-1
19,3,423.69,184.66,112.08,97.70,1,-1,-1,-1
20,1,714.19,340.44,143.28,105.94,1,-1,-1,-1
20,2,327.04,390.84,142.59,106.12,1,-1,-1,-1
20,3,419.14,184.85,110.97,98.05,1,-1,-1,-1
20,4,767.16,298.41,101.80,88.67,1,-1,-1,-1
20,5,816.03,403.94,72.40,68.36,1,-1,-1,-1
21,1,704.09,347.35,172.32,110.59,1,-1,-1,-1
21,2,327.70,390.85,141.71,106.28,1,-1,-1,-1
21,3,414.09,185.69,112.52,96.66,1,-1,-1,-1
21,4,767.22,298.68,101.78,87.95,1,-1,-1,-1
22,2,328.44,391.03,140.97,106.19,1,-1,-1,-1
22,3,407.63,185.71,114.32,97.36,1,-1,-1,-1
22,4,767.08,298.59,102.16,88.26,1,-1,-1,-1
22,5,816.58,404.30,72.07,67.60,1,-1,-1,-1
23,2,328.35,390.95,141.31,106.44,1,-1,-1,-1
23,3,403.44,186.39,114.88,96.23,1,-1,-1,-1
23,5,817.40,404.61,72.05,67.03,1,-1,-1,-1
24,2,328.23,391.03,141.47,106.33,1,-1,-1,-1
24,3,401.89,186.40,115.00,96.19,1,-1,-1,-1
24,5,818.10,404.49,72.10,67.16,1,-1,-1,-1
25,2,328.10,391.23,141.66,106.04,1,-1,-1,-1
25,3,400.05,185.98,113.06,97.42,1,-1,-1,-1
25,5,818.14,404.11,72.57,67.55,1,-1,-1,-1
26,1,710.33,352.73,141.23,104.39,1,-1,-1,-1
26,2,325.57,391.12,144.79,106.06,1,-1,-1,-1
26,3,393.31,186.76,116.24,96.60,1,-1,-1,-1
26,4,768.82,297.17,100.79,88.22,1,-1,-1,-1
26,5,818.21,403.95,72.29,67.66,1,-1,-1,-1
27,1,708.94,351.18,142.06,104.64,1,-1,-1,-1
27,2,325.14,391.05,144.63,106.10,1,-1,-1,-1
27,3,387.76,186.75,117.79,97.04,1,-1,-1,-1
27,4,768.86,296.65,100.79,88.43,1,-1,-1,-1
27,5,818.06,403.90,72.29,67.69,1,-1,-1,-1
28,1,708.87,350.92,140.92,104.25,1,-1,-1,-1
28,2,327.37,391.24,141.52,105.78,1,-1,-1,-1
28,3,383.22,186.79,118.28,96.56,1,-1,-1,-1
28,4,767.67,295.33,102.24,87.79,1,-1,-1,-1
28,5,817.76,403.78,72.31,67.82,1,-1,-1,-1
29,1,709.00,350.60,140.62,104.38,1,-1,-1,-1
29,2,325.48,391.20,144.50,105.93,1,-1,-1,-1
29,3,380.19,186.83,117.60,96.78,1,-1,-1,-1
29,4,768.10,294.99,101.23,88.45,1,-1,-1,-1
29,5,817.40,404.09,72.66,67.38,1,-1,-1,-1
30,1,709.01,350.49,140.95,104.53,1,-1,-1,-1
30,2,326.80,391.24,142.52,105.90,1,-1,-1,-1
30,3,379.63,186.67,113.80,96.47,1,-1,-1,-1
30,4,768.09,294.99,101.08,88.97,1,-1,-1,-1
30,5,817.35,404.26,72.55,67.22,1,-1,-1,-1
31,1,708.98,350.44,141.59,104.54,1,-1,-1,-1
31,2,325.98,391.18,143.72,106.02,1,-1,-1,-1
31,3,381.48,187.30,107.96,94.54,1,-1,-1,-1
31,4,767.54,295.51,101.85,89.21,1,-1,-1,-1
31,5,817.16,404.23,72.57,67.44,1,-1,-1,-1
32,1,709.09,350.41,141.84,104.57,1,-1,-1,-1
32,2,323.41,390.94,146.82,106.34,1,-1,-1,-1
32,3,378.11,186.77,110.31,95.33,1,-1,-1,-1
32,4,767.43,296.06,101.77,88.74,1,-1,-1,-1
32,5,817.19,404.39,72.66,67.20,1,-1,-1,-1
33,1,709.74,350.54,140.81,103.80,1,-1,-1,-1
33,2,325.42,391.24,143.54,105.77,1,-1,-1,-1
33,3,377.29,186.53,107.99,95.25,1,-1,-1,-1
33,4,766.82,296.16,103.78,87.62,1,-1,-1,-1
33,5,818.75,405.37,70.98,65.91,1,-1,-1,-1
34,1,710.28,350.52,140.07,103.29,1,-1,-1,-1
34,2,321.99,390.56,148.25,106.60,1,-1,-1,-1
