1,1,711.40,587.36,305.09,266.05,1,-1,-1,-1
1,2,569.04,385.94,199.66,145.70,1,-1,-1,-1
3,1,733.46,645.14,255.92,157.92,1,-1,-1,-1
3,2,569.06,385.70,199.64,146.14,1,-1,-1,-1
5,1,711.47,590.11,308.14,256.77,1,-1,-1,-1
5,2,568.94,386.15,199.83,145.33,1,-1,-1,-1
7,1,728.43,577.61,297.49,254.02,1,-1,-1,-1
7,2,568.86,386.00,199.89,145.64,1,-1,-1,-1
7,3,0.00,426.76,45.29,168.16,1,-1,-1,-1
9,1,747.15,573.28,268.41,235.69,1,-1,-1,-1
9,2,568.77,386.43,199.38,144.84,1,-1,-1,-1
9,3,-1.43,427.51,48.43,165.37,1,-1,-1,-1
11,1,751.11,551.16,297.38,248.02,1,-1,-1,-1
11,2,568.90,384.53,199.53,147.63,1,-1,-1,-1
13,1,770.08,539.38,294.36,246.41,1,-1,-1,-1
13,2,569.05,384.22,199.54,147.66,1,-1,-1,-1
13,3,-9.50,436.05,79.61,138.02,1,-1,-1,-1
15,1,786.66,533.60,290.23,235.70,1,-1,-1,-1
15,2,569.13,384.87,199.64,146.68,1,-1,-1,-1
15,3,-4.87,452.65,87.01,106.34,1,-1,-1,-1
17,1,802.29,521.34,283.73,240.84,1,-1,-1,-1
17,2,569.17,385.03,199.65,146.61,1,-1,-1,-1
17,3,-0.32,448.32,88.51,106.85,1,-1,-1,-1
19,1,808.62,512.14,289.26,240.34,1,-1,-1,-1
19,2,569.23,385.79,199.54,145.73,1,-1,-1,-1
19,3,4.79,427.39,75.51,139.23,1,-1,-1,-1
21,1,820.81,506.61,278.98,231.94,1,-1,-1,-1
21,2,569.23,385.36,199.50,146.51,1,-1,-1,-1
21,3,2.08,426.16,80.80,132.05,1,-1,-1,-1
23,1,828.99,501.16,272.93,226.94,1,-1,-1,-1
23,2,569.22,386.36,199.46,145.17,1,-1,-1,-1
23,3,-1.48,431.61,95.46,118.40,1,-1,-1,-1
25,1,831.73,492.75,271.79,229.31,1,-1,-1,-1
25,2,568.96,387.01,199.21,144.34,1,-1,-1,-1
25,3,-0.24,417.25,98.57,134.38,1,-1,-1,-1
27,1,839.78,489.16,259.96,217.87,1,-1,-1,-1
27,2,568.92,385.07,199.57,147.27,1,-1,-1,-1
27,3,2.50,410.46,91.42,134.01,1,-1,-1,-1
29,1,843.28,480.30,256.18,218.23,1,-1,-1,-1
29,2,569.03,386.65,199.53,144.91,1,-1,-1,-1
29,3,-0.49,409.45,101.49,124.29,1,-1,-1,-1
31,1,853.08,476.12,243.49,210.78,1,-1,-1,-1
31,2,569.03,386.32,199.54,145.63,1,-1,-1,-1
31,3,-0.20,405.84,104.66,132.79,1,-1,-1,-1
33,1,859.68,470.64,236.68,205.08,1,-1,-1,-1
33,2,569.24,388.06,199.45,143.41,1,-1,-1,-1
33,3,1.62,406.48,100.01,133.96,1,-1,-1,-1
35,1,856.27,463.29,242.24,202.95,1,-1,-1,-1
35,2,569.26,387.99,199.50,144.01,1,-1,-1,-1
35,3,3.20,417.50,89.92,129.23,1,-1,-1,-1
37,1,865.85,457.39,233.12,202.43,1,-1,-1,-1
37,2,569.46,388.64,199.36,143.25,1,-1,-1,-1
37,3,3.75,437.29,77.26,111.68,1,-1,-1,-1
39,1,868.45,453.33,234.54,202.47,1,-1,-1,-1
39,2,569.39,389.06,199.46,142.79,1,-1,-1,-1
39,3,-0.30,449.03,81.24,108.68,1,-1,-1,-1
41,1,870.41,450.37,233.24,204.33,1,-1,-1,-1
41,2,569.38,389.73,199.51,142.06,1,-1,-1,-1
43,1,877.57,451.16,223.39,202.82,1,-1,-1,-1
