4,1,713.07,588.42,303.93,260.81,1,-1,-1,-1
4,2,569.01,386.51,199.72,144.65,1,-1,-1,-1
7,1,722.45,584.61,297.49,254.02,1,-1,-1,-1
7,2,568.90,386.01,199.89,145.64,1,-1,-1,-1
10,1,738.53,571.64,297.11,246.47,1,-1,-1,-1
10,2,568.83,385.84,199.46,145.69,1,-1,-1,-1
13,1,762.13,550.66,294.36,246.41,1,-1,-1,-1
13,2,568.94,384.46,199.54,147.66,1,-1,-1,-1
13,3,-13.20,439.00,79.61,138.02,1,-1,-1,-1
16,1,787.26,532.63,290.74,240.90,1,-1,-1,-1
16,2,569.07,385.27,199.54,146.29,1,-1,-1,-1
16,3,-9.69,448.37,88.36,115.41,1,-1,-1,-1
19,1,805.41,514.87,289.26,240.34,1,-1,-1,-1
19,2,569.15,385.80,199.54,145.73,1,-1,-1,-1
19,3,0.32,430.09,75.51,139.23,1,-1,-1,-1
22,1,828.94,503.51,270.88,230.39,1,-1,-1,-1
22,2,569.16,385.86,199.55,145.86,1,-1,-1,-1
22,3,-1.03,438.21,88.69,112.34,1,-1,-1,-1
25,1,834.61,491.45,271.79,229.31,1,-1,-1,-1
25,2,568.97,386.91,199.21,144.34,1,-1,-1,-1
25,3,-0.70,418.30,98.57,134.38,1,-1,-1,-1
28,1,841.46,482.78,263.09,218.80,1,-1,-1,-1
28,2,568.90,386.29,199.57,145.60,1,-1,-1,-1
28,3,2.59,412.30,94.25,125.76,1,-1,-1,-1
31,1,856.06,474.79,243.49,210.78,1,-1,-1,-1
31,2,568.97,386.31,199.54,145.63,1,-1,-1,-1
31,3,0.34,406.51,104.66,132.79,1,-1,-1,-1
34,1,852.89,466.70,248.49,201.97,1,-1,-1,-1
34,2,569.01,387.14,199.83,144.68,1,-1,-1,-1
34,3,3.14,406.25,96.99,139.16,1,-1,-1,-1
37,1,866.85,456.56,233.12,202.43,1,-1,-1,-1
37,2,569.43,388.39,199.36,143.25,1,-1,-1,-1
37,3,6.22,432.70,77.26,111.68,1,-1,-1,-1
40,1,870.57,450.20,233.04,202.70,1,-1,-1,-1
40,2,569.38,389.52,199.52,142.12,1,-1,-1,-1
40,3,1.91,442.55,78.07,115.27,1,-1,-1,-1
43,1,878.50,448.55,223.39,202.82,1,-1,-1,-1
43,2,569.21,389.09,199.80,142.95,1,-1,-1,-1
46,1,864.36,449.98,241.80,203.54,1,-1,-1,-1
46,2,569.18,387.46,199.77,144.93,1,-1,-1,-1
