name,family,imgsz,cores,smt,logical_cpus,mAP_50_95,mAP_50,map_ci_low,map_ci_high,AP_armor,AP_base,AP_car,AP_watcher,lat_mean_ms,lat_ci_low,lat_ci_high,lat_p95_ms,fps_mean,decode_mean_ms,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,frames,cpu_model
classical_paired,classical,960,1,0,1,0.000562,0.004139,0.000418,0.000677,0.002248,0.0,0.0,0.0,44.017,43.306,44.766,54.277,22.718,6.504,98.6,98.6,538.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_960,yolo,960,2,0,2,0.667869,0.970698,0.661936,0.674907,0.440919,0.866721,0.778234,0.585604,235.859,233.407,238.156,273.738,4.24,6.138,193.3,96.7,846.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_960,yolo,960,2,0,2,0.639937,0.972175,0.634688,0.647046,0.453737,0.846758,0.778502,0.480752,94.175,93.397,94.879,108.786,10.618,6.165,189.0,94.5,771.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_640,yolo,640,2,0,2,0.626319,0.962895,0.621888,0.633595,0.388195,0.86636,0.772192,0.478529,117.445,116.446,118.429,133.683,8.515,6.123,191.3,95.6,795.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_640,yolo,640,2,0,2,0.607257,0.91966,0.601766,0.613353,0.294321,0.854596,0.741077,0.539033,60.341,60.024,60.656,66.857,16.572,7.09,183.3,91.6,726.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_320,yolo,320,2,0,2,0.516929,0.773467,0.511804,0.523745,0.044847,0.843947,0.711499,0.467422,39.178,39.115,39.255,40.0,25.524,6.04,185.1,92.6,749.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960_anchor,ssd,960,2,0,2,0.513671,0.820104,0.509073,0.520843,0.09302,0.785195,0.618095,0.558373,94.012,93.619,94.422,101.118,10.637,7.32,194.1,97.1,767.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_960_anchor,ssd,960,2,0,2,0.506827,0.843571,0.501098,0.51424,0.116659,0.75571,0.647765,0.507176,254.335,250.673,258.251,306.71,3.932,7.587,192.3,96.2,1027.3,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_320,yolo,320,2,0,2,0.496536,0.731608,0.490024,0.504023,0.006784,0.819634,0.643766,0.515959,23.035,22.88,23.192,25.423,43.412,6.054,175.5,87.8,706.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640_anchor,ssd,640,2,0,2,0.458019,0.772706,0.450305,0.465253,0.05922,0.760272,0.561141,0.451444,47.457,47.314,47.649,49.552,21.072,7.415,191.7,95.9,701.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640_anchor,ssd,640,2,0,2,0.450966,0.799834,0.443237,0.46115,0.076562,0.677477,0.577645,0.47218,91.88,91.58,92.2,96.461,10.884,7.304,194.2,97.1,814.2,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320_anchor,ssd,320,2,0,2,0.287249,0.641493,0.278596,0.299386,0.009905,0.567017,0.343606,0.228469,114.759,83.385,169.5,141.476,8.714,7.818,111.0,55.5,681.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320_anchor,ssd,320,2,0,2,0.281615,0.602423,0.272577,0.293684,0.006791,0.606269,0.298143,0.215256,28.307,28.007,28.672,32.931,35.328,7.475,183.1,91.6,657.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640,ssd,640,2,0,2,0.269006,0.621415,0.258591,0.282045,0.003827,0.40777,0.346853,0.317574,88.115,87.861,88.373,92.807,11.349,7.691,194.4,97.2,797.2,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,2,0,2,0.230494,0.557262,0.22005,0.243165,0.002375,0.422735,0.311231,0.185632,47.687,47.632,47.754,48.531,20.97,7.234,193.1,96.6,703.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320,ssd,320,2,0,2,0.180324,0.501951,0.171414,0.192361,0.003417,0.390002,0.189667,0.138211,34.383,34.34,34.426,35.183,29.084,7.643,191.4,95.7,702.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320,ssd,320,2,0,2,0.147688,0.402588,0.138821,0.15748,0.0008,0.384302,0.162433,0.043217,25.73,25.703,25.753,26.21,38.866,7.217,189.4,94.7,663.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960_groupnorm,ssd,960,2,0,2,0.127639,0.268325,0.118893,0.139052,0.000295,0.376013,0.12788,0.00637,97.814,97.536,98.103,103.159,10.224,7.685,194.8,97.4,770.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960,ssd,960,2,0,2,0.119252,0.322221,0.109935,0.131187,0.002555,0.241717,0.159381,0.073354,95.635,95.408,95.869,98.956,10.456,7.204,195.3,97.7,767.0,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_960,ssd,960,2,0,2,0.104559,0.280884,0.095672,0.117257,0.002612,0.226514,0.140786,0.048325,229.62,229.218,230.033,239.163,4.355,7.603,196.3,98.2,947.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_tight,classical,960,2,0,2,0.002989,0.011014,0.002511,0.003848,0.011956,0.0,0.0,0.0,29.582,29.183,30.008,35.986,33.805,6.537,128.3,64.1,546.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_strict,classical,960,2,0,2,0.002827,0.00982,0.002325,0.003661,0.011309,0.0,0.0,0.0,29.191,28.846,29.575,34.091,34.257,6.397,123.4,61.7,546.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_balanced,classical,960,2,0,2,0.001646,0.005807,0.001525,0.00188,0.006583,0.0,0.0,0.0,77.242,75.743,78.878,97.078,12.946,6.502,110.4,55.2,547.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_loose,classical,960,2,0,2,0.001027,0.003329,0.00093,0.001158,0.004108,0.0,0.0,0.0,120.276,118.151,122.552,151.47,8.314,6.71,106.0,53.0,547.3,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_paired,classical,960,2,0,2,0.000562,0.004139,0.000418,0.000677,0.002248,0.0,0.0,0.0,40.43,39.748,41.191,50.233,24.734,6.4,119.5,59.7,540.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_960,yolo,960,4,0,4,0.667869,0.970698,0.661936,0.674907,0.440919,0.866721,0.778234,0.585604,219.243,217.956,220.428,231.339,4.561,6.218,385.5,96.4,845.2,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_960,yolo,960,4,0,4,0.639937,0.972175,0.634688,0.647046,0.453737,0.846758,0.778502,0.480752,76.206,75.726,76.75,81.158,13.122,6.218,372.7,93.2,768.3,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_640,yolo,640,4,0,4,0.626319,0.962895,0.621888,0.633595,0.388195,0.86636,0.772192,0.478529,108.106,107.334,108.903,114.045,9.25,6.16,378.4,94.6,787.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_640,yolo,640,4,0,4,0.607257,0.91966,0.601766,0.613353,0.294321,0.854596,0.741077,0.539033,46.505,46.179,46.888,50.718,21.503,6.26,361.0,90.3,725.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_320,yolo,320,4,0,4,0.516929,0.773467,0.511804,0.523745,0.044847,0.843947,0.711499,0.467422,27.607,27.523,27.711,28.581,36.222,6.059,347.7,86.9,748.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960_anchor,ssd,960,4,0,4,0.513671,0.820104,0.509073,0.520843,0.09302,0.785195,0.618095,0.558373,82.168,81.752,82.594,90.601,12.17,7.548,386.0,96.5,773.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_960_anchor,ssd,960,4,0,4,0.506827,0.843571,0.501098,0.51424,0.116659,0.75571,0.647765,0.507176,208.308,207.346,209.444,226.511,4.801,7.946,389.4,97.4,1027.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_320,yolo,320,4,0,4,0.496536,0.731608,0.490024,0.504023,0.006784,0.819634,0.643766,0.515959,20.206,19.993,20.441,22.53,49.49,6.065,344.9,86.2,708.0,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640_anchor,ssd,640,4,0,4,0.458019,0.772706,0.450305,0.465253,0.05922,0.760272,0.561141,0.451444,42.051,41.77,42.38,46.234,23.781,7.677,379.4,94.8,700.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640_anchor,ssd,640,4,0,4,0.450966,0.799834,0.443237,0.46115,0.076562,0.677477,0.577645,0.47218,82.797,81.644,84.325,92.8,12.078,7.742,382.5,95.6,810.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320_anchor,ssd,320,4,0,4,0.287249,0.641493,0.278596,0.299386,0.009905,0.567017,0.343606,0.228469,34.786,34.397,35.21,40.657,28.747,7.792,369.6,92.4,706.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320_anchor,ssd,320,4,0,4,0.281615,0.602423,0.272577,0.293684,0.006791,0.606269,0.298143,0.215256,27.443,27.106,27.802,34.746,36.44,8.097,369.6,92.4,662.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640,ssd,640,4,0,4,0.269006,0.621415,0.258591,0.282045,0.003827,0.40777,0.346853,0.317574,77.224,76.771,77.725,84.458,12.949,7.401,385.2,96.3,813.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,4,0,4,0.230494,0.557262,0.22005,0.243165,0.002375,0.422735,0.311231,0.185632,42.326,42.212,42.45,44.563,23.626,7.631,380.5,95.1,705.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320,ssd,320,4,0,4,0.180324,0.501951,0.171414,0.192361,0.003417,0.390002,0.189667,0.138211,31.797,31.704,31.9,33.023,31.449,7.312,375.6,93.9,704.3,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320,ssd,320,4,0,4,0.147688,0.402588,0.138821,0.15748,0.0008,0.384302,0.162433,0.043217,25.117,25.077,25.16,25.79,39.814,7.445,371.6,92.9,658.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960_groupnorm,ssd,960,4,0,4,0.127639,0.268325,0.118893,0.139052,0.000295,0.376013,0.12788,0.00637,83.422,82.931,83.905,89.996,11.987,7.633,386.1,96.5,769.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960,ssd,960,4,0,4,0.119252,0.322221,0.109935,0.131187,0.002555,0.241717,0.159381,0.073354,81.331,81.142,81.52,84.715,12.295,7.472,387.7,96.9,770.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_960,ssd,960,4,0,4,0.104559,0.280884,0.095672,0.117257,0.002612,0.226514,0.140786,0.048325,203.749,202.906,204.599,216.947,4.908,7.388,391.7,97.9,988.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_tight,classical,960,4,0,4,0.002989,0.011014,0.002511,0.003848,0.011956,0.0,0.0,0.0,25.532,25.143,25.969,31.95,39.166,6.456,148.3,37.1,549.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_strict,classical,960,4,0,4,0.002827,0.00982,0.002325,0.003661,0.011309,0.0,0.0,0.0,26.965,26.521,27.462,35.728,37.085,6.466,144.4,36.1,549.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_balanced,classical,960,4,0,4,0.001646,0.005807,0.001525,0.00188,0.006583,0.0,0.0,0.0,72.921,71.448,74.487,93.255,13.714,6.466,121.0,30.3,550.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_loose,classical,960,4,0,4,0.001027,0.003329,0.00093,0.001158,0.004108,0.0,0.0,0.0,111.068,109.113,113.255,138.763,9.003,6.398,114.0,28.5,549.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_paired,classical,960,4,0,4,0.000562,0.004139,0.000418,0.000677,0.002248,0.0,0.0,0.0,36.654,35.89,37.451,46.896,27.282,6.496,130.5,32.6,543.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_960,yolo,960,6,0,6,0.667869,0.970698,0.661936,0.674907,0.440919,0.866721,0.778234,0.585604,146.356,145.52,147.353,161.075,6.833,6.383,580.3,96.7,847.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_960,yolo,960,6,0,6,0.639937,0.972175,0.634688,0.647046,0.453737,0.846758,0.778502,0.480752,62.6,62.254,63.024,65.829,15.975,6.287,564.2,94.0,766.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_640,yolo,640,6,0,6,0.626319,0.962895,0.621888,0.633595,0.388195,0.86636,0.772192,0.478529,71.991,71.455,72.583,77.1,13.891,6.328,568.3,94.7,787.2,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_640,yolo,640,6,0,6,0.607257,0.91966,0.601766,0.613353,0.294321,0.854596,0.741077,0.539033,37.142,36.745,37.641,40.06,26.924,6.318,546.9,91.1,725.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_320,yolo,320,6,0,6,0.516929,0.773467,0.511804,0.523745,0.044847,0.843947,0.711499,0.467422,30.927,29.726,32.301,38.479,32.334,6.289,539.6,89.9,749.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960_anchor,ssd,960,6,0,6,0.513671,0.820104,0.509073,0.520843,0.09302,0.785195,0.618095,0.558373,79.835,79.392,80.369,86.588,12.526,7.848,575.1,95.9,771.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_960_anchor,ssd,960,6,0,6,0.506827,0.843571,0.501098,0.51424,0.116659,0.75571,0.647765,0.507176,207.05,205.98,208.374,223.262,4.83,7.955,584.2,97.4,1028.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
