name,family,imgsz,cores,smt,logical_cpus,mAP_50_95,mAP_50,map_ci_low,map_ci_high,AP_armor,AP_base,AP_car,AP_watcher,lat_mean_ms,lat_ci_low,lat_ci_high,lat_p95_ms,fps_mean,decode_mean_ms,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,frames,cpu_model
ssd_large_960_anchor,ssd,960,6,1,12,0.506827,0.843571,0.501098,0.51424,0.116659,0.75571,0.647765,0.507176,235.376,234.48,236.392,254.015,4.249,9.675,1081.0,90.1,1012.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_320,yolo,320,6,1,12,0.496536,0.731608,0.490024,0.504023,0.006784,0.819634,0.643766,0.515959,17.701,17.493,17.939,19.147,56.495,7.179,710.9,59.2,708.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640_anchor,ssd,640,6,1,12,0.458019,0.772706,0.450305,0.465253,0.05922,0.760272,0.561141,0.451444,52.488,52.198,52.79,58.485,19.052,9.782,1090.9,90.9,703.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640_anchor,ssd,640,6,1,12,0.450966,0.799834,0.443237,0.46115,0.076562,0.677477,0.577645,0.47218,92.089,91.683,92.506,100.756,10.859,9.63,1106.7,92.2,815.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320_anchor,ssd,320,6,1,12,0.287249,0.641493,0.278596,0.299386,0.009905,0.567017,0.343606,0.228469,39.768,39.567,40.006,44.368,25.146,9.372,1091.9,91.0,708.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320_anchor,ssd,320,6,1,12,0.281615,0.602423,0.272577,0.293684,0.006791,0.606269,0.298143,0.215256,36.902,36.376,37.691,42.06,27.099,9.577,986.4,82.2,663.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640,ssd,640,6,1,12,0.269006,0.621415,0.258591,0.282045,0.003827,0.40777,0.346853,0.317574,87.309,86.877,87.762,95.65,11.454,9.386,1116.9,93.1,778.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,6,1,12,0.230494,0.557262,0.22005,0.243165,0.002375,0.422735,0.311231,0.185632,53.165,52.806,53.541,61.817,18.809,9.464,1091.1,90.9,703.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320,ssd,320,6,1,12,0.180324,0.501951,0.171414,0.192361,0.003417,0.390002,0.189667,0.138211,39.195,39.059,39.322,41.591,25.513,9.042,1110.7,92.6,710.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320,ssd,320,6,1,12,0.147688,0.402588,0.138821,0.15748,0.0008,0.384302,0.162433,0.043217,32.499,32.41,32.596,34.113,30.771,9.228,1102.3,91.9,663.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960_groupnorm,ssd,960,6,1,12,0.127639,0.268325,0.118893,0.139052,0.000295,0.376013,0.12788,0.00637,98.928,98.282,99.578,111.045,10.108,9.547,1093.7,91.1,773.3,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960,ssd,960,6,1,12,0.119252,0.322221,0.109935,0.131187,0.002555,0.241717,0.159381,0.073354,96.714,96.242,97.213,107.967,10.34,9.558,1117.1,93.1,772.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_960,ssd,960,6,1,12,0.104559,0.280884,0.095672,0.117257,0.002612,0.226514,0.140786,0.048325,230.726,229.942,231.532,248.295,4.334,9.594,1112.4,92.7,1012.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_tight,classical,960,6,1,12,0.002989,0.011014,0.002511,0.003848,0.011956,0.0,0.0,0.0,25.707,25.285,26.134,32.432,38.9,6.664,230.9,19.2,559.2,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_strict,classical,960,6,1,12,0.002827,0.00982,0.002325,0.003661,0.011309,0.0,0.0,0.0,25.697,25.312,26.134,31.15,38.916,6.482,244.7,20.4,561.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_balanced,classical,960,6,1,12,0.001646,0.005807,0.001525,0.00188,0.006583,0.0,0.0,0.0,72.707,71.192,74.322,91.645,13.754,6.475,152.9,12.7,566.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_loose,classical,960,6,1,12,0.001027,0.003329,0.00093,0.001158,0.004108,0.0,0.0,0.0,110.65,108.603,112.851,140.05,9.037,6.537,142.8,11.9,559.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
classical_paired,classical,960,6,1,12,0.000562,0.004139,0.000418,0.000677,0.002248,0.0,0.0,0.0,35.819,35.111,36.582,45.877,27.918,6.292,208.7,17.4,560.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
