sequence,tracker,detector,cores,smt,logical_cpus,frames,detect_ms,track_ms,total_ms,total_ci_low,total_ci_high,total_p95_ms,fps,decode_ms,tracks_in_flight,track_share,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,baseline_cpu_pct,cpu_model
arc06,sort,yolo_960,6,0,6,60,147.473,0.44,147.913,146.407,149.421,158.179,6.761,7.683,6.0,0.003,587.9,98.0,866.5,16.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,yolo_960,1,0,1,60,398.469,112.345,510.814,507.818,513.741,523.571,1.958,7.215,6.0,0.22,97.9,97.9,869.6,1.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,yolo_960,2,0,2,60,233.928,114.792,348.72,342.967,354.548,392.816,2.868,7.354,6.0,0.329,192.2,96.1,874.2,7.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,yolo_960,4,0,4,60,180.141,114.977,295.118,292.357,298.092,309.482,3.388,7.296,6.0,0.39,379.3,94.8,869.6,11.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,vit,yolo_960,6,0,6,60,164.788,125.954,290.742,283.325,299.169,357.87,3.439,7.564,6.0,0.433,585.1,97.5,884.6,18.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,yolo_960,1,0,1,60,402.636,5103.151,5505.787,5365.906,5636.527,6181.792,0.182,7.303,6.0,0.927,97.5,97.5,8991.3,0.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,yolo_960,2,0,2,60,244.726,4968.741,5213.467,5073.729,5345.503,5903.572,0.192,7.109,6.0,0.953,107.5,53.7,9023.9,16.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,yolo_960,4,0,4,60,168.597,4949.204,5117.801,4982.652,5245.542,5778.157,0.195,7.066,6.0,0.967,119.8,29.9,9024.8,13.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,goturn,yolo_960,6,0,6,60,155.714,4948.172,5103.886,4968.232,5233.372,5805.065,0.196,7.097,6.0,0.969,132.0,22.0,9033.3,20.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,classical,fast_960,1,0,1,30,162.719,0.121,162.841,161.626,164.082,166.724,6.141,7.966,4.8,0.001,95.2,95.2,751.8,3.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,classical,fast_960,6,0,6,30,76.786,0.127,76.913,73.562,80.886,90.679,13.002,6.988,4.8,0.002,591.7,98.6,752.7,18.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,fast_960,1,0,1,30,161.61,0.322,161.932,161.175,162.715,164.868,6.175,6.37,4.8,0.002,98.2,98.2,785.5,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,fast_960,6,0,6,30,67.476,0.353,67.829,65.909,69.988,78.804,14.743,6.833,4.8,0.005,590.0,98.3,783.9,18.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,fast_960,1,0,1,30,160.864,84.258,245.121,243.195,246.884,250.569,4.08,6.441,4.8,0.344,97.1,97.1,770.8,1.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,fast_960,6,0,6,30,69.091,90.429,159.52,155.987,163.176,171.139,6.269,7.016,4.8,0.567,583.0,97.2,783.2,19.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,fast_960,1,0,1,10,168.553,4080.872,4249.425,4229.402,4274.956,4292.867,0.235,6.583,5.0,0.96,97.9,97.9,5528.7,1.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,fast_960,6,0,6,10,67.953,4006.914,4074.867,4054.71,4097.313,4122.387,0.245,6.358,5.0,0.983,128.9,21.5,5623.2,17.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,classical,ssd_small_960_anchor,1,0,1,30,141.842,0.176,142.018,141.311,142.739,145.439,7.041,7.028,6.0,0.001,95.9,95.9,744.6,1.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,classical,ssd_small_960_anchor,6,0,6,30,90.822,0.193,91.016,89.719,92.431,97.69,10.987,7.351,6.0,0.002,597.2,99.5,757.9,19.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,ssd_small_960_anchor,1,0,1,30,147.562,0.442,148.004,145.325,151.096,155.794,6.757,7.087,6.0,0.003,97.6,97.6,779.8,7.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,ssd_small_960_anchor,6,0,6,30,92.852,0.524,93.375,91.052,95.879,102.773,10.709,7.44,6.0,0.006,591.5,98.6,792.5,19.7,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,ssd_small_960_anchor,1,0,1,30,141.273,114.301,255.574,251.337,259.45,266.996,3.913,7.027,6.0,0.447,96.1,96.1,776.2,2.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,ssd_small_960_anchor,6,0,6,30,96.666,109.184,205.85,200.473,212.016,222.769,4.858,7.455,6.0,0.53,584.8,97.5,800.6,18.2,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,ssd_small_960_anchor,1,0,1,10,149.769,4781.861,4931.63,4736.918,5135.375,5166.609,0.203,7.108,5.7,0.97,98.5,98.5,7215.6,2.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,ssd_small_960_anchor,6,0,6,10,100.657,4418.867,4519.523,4339.577,4706.127,4648.514,0.221,6.96,5.7,0.978,148.9,24.8,7203.0,18.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,classical,strict,1,0,1,30,36.558,0.92,37.478,36.431,38.469,41.167,26.682,6.905,19.4,0.025,100.1,100.1,538.1,3.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,classical,strict,6,0,6,30,28.704,0.899,29.603,28.594,30.551,33.214,33.781,6.82,19.4,0.03,165.3,27.5,542.4,1.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,strict,1,0,1,30,37.031,1.667,38.699,37.589,39.782,42.714,25.841,6.918,19.5,0.043,99.0,99.0,576.1,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,sort,strict,6,0,6,30,30.231,1.697,31.928,30.808,32.959,36.816,31.32,7.035,19.5,0.053,150.8,25.1,571.5,14.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,strict,1,0,1,30,37.666,473.78,511.446,497.438,526.558,573.192,1.955,7.297,17.7,0.926,98.1,98.1,808.7,3.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,vit,strict,6,0,6,30,28.843,408.437,437.28,425.148,450.418,499.228,2.287,6.826,17.7,0.934,202.9,33.8,817.2,2.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,strict,1,0,1,10,168.356,165398.707,165567.063,105864.424,233972.31,297257.602,0.006,56.655,19.7,0.999,56.0,56.0,21711.9,1.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc02,goturn,strict,6,0,6,10,170.956,128325.528,128496.484,97853.741,158907.334,160271.238,0.008,39.664,19.7,0.999,78.4,13.1,19760.8,8.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
arc06,classical,fast_960,1,0,1,30,162.912,0.159,163.071,161.73,164.646,168.402,6.132,15.449,6.1,0.001,96.4,96.4,756.8,7.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
