name,images,mAP_50_95,mAP_50,mAP_75,AR_100,best_f1_macro,ci_low,ci_high,bootstrap_n,AP_armor,AP_base,AP_car,AP_watcher
ssd_small_320,397,0.147688,0.402588,0.07005,0.245404,0.443252,0.138821,0.15748,1000,0.0008,0.384302,0.162433,0.043217
ssd_large_320,397,0.180324,0.501951,0.092442,0.279659,0.518906,0.171414,0.192361,1000,0.003417,0.390002,0.189667,0.138211
ssd_small_640,397,0.230494,0.557262,0.148819,0.333471,0.558057,0.22005,0.243165,1000,0.002375,0.422735,0.311231,0.185632
fast_320,397,0.496536,0.731608,0.548931,0.535997,0.738093,0.490024,0.504023,1000,0.006784,0.819634,0.643766,0.515959
yolo_320,397,0.516929,0.773467,0.529858,0.559371,0.802568,0.511804,0.523745,1000,0.044847,0.843947,0.711499,0.467422
ssd_small_960,397,0.119252,0.322221,0.074684,0.188544,0.42251,0.109935,0.131187,1000,0.002555,0.241717,0.159381,0.073354
ssd_large_640,397,0.269006,0.621415,0.181475,0.365614,0.632782,0.258591,0.282045,1000,0.003827,0.40777,0.346853,0.317574
fast_640,397,0.607257,0.91966,0.642464,0.66427,0.921016,0.601766,0.613353,1000,0.294321,0.854596,0.741077,0.539033
yolo_640,397,0.626319,0.962895,0.61081,0.680335,0.960753,0.621888,0.633595,1000,0.388195,0.86636,0.772192,0.478529
fast_960,397,0.639937,0.972175,0.640157,0.697844,0.963523,0.634688,0.647046,1000,0.453737,0.846758,0.778502,0.480752
ssd_large_960,397,0.104559,0.280884,0.06306,0.183481,0.389826,0.095672,0.117257,1000,0.002612,0.226514,0.140786,0.048325
yolo_960,397,0.667869,0.970698,0.721374,0.724099,0.96407,0.661936,0.674907,1000,0.440919,0.866721,0.778234,0.585604
